Sistema 1	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
	Areia (kg)	2,35E-03	3,16E-01	1,62E-09	4,34E+00	5,52E-04	5,37E-08	5,41E-05	4,82E+00
	Água (kg)	1,15E-04	1,61E-02	7,20E-09	1,69E-01	3,20E-05	1,38E-09	6,99E-06	3,04E-01
Argamassa de assentamento	Cimento (kg)	3,93E-03	2,05E+00	4,24E-09	8,48E+00	9,06E-04	1,02E-07	2,60E-04	1,10E+01
	Cal (kg)	7,73E-03	2,70E+00	3,55E-08	1,82E+01	2,23E-03	1,31E-07	2,83E-04	2,12E+01
	Areia (kg)	6,60E-04	8,86E-02	4,54E-10	1,22E+00	1,55E-04	1,51E-08	1,52E-05	1,35E+00
	Água (kg)	3,24E-05	4,52E-03	2,02E-09	4,75E-02	8,99E-06	3,87E-10	1,96E-06	8,53E-02
Aço	Aço (kg)	9,41E-04	2,49E-01	5,44E-09	2,58E+00	4,73E-04	1,40E-08	1,63E-04	3,12E+00
	Galvanização (m²)	5,10E-03	9,09E-02	1,07E-07	1,15E+00	1,30E-03	1,03E-08	2,13E-05	1,63E+00
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Alvenaria	Bloco cerâmico (kg)	3,69E-02	1,46E+01	1,50E-07	1,30E+02	8,86E-03	9,05E-07	2,96E-03	1,63E+02
TOTAL		1,16E-01	3,98E+01	1,76E-06	2,93E+02	3,14E-02	2,28E-06	7,37E-03	3,67E+02
Sistema 15	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	7,01E-03	3,65E+00	7,56E-09	1,51E+01	1,61E-03	1,82E-07	4,63E-04	1,96E+01
	Cal (kg)	1,39E-02	4,85E+00	6,39E-08	3,27E+01	4,02E-03	2,36E-07	5,08E-04	3,82E+01
	Areia (kg)	1,17E-03	1,58E-01	8,08E-10	2,17E+00	2,76E-04	2,68E-08	2,70E-05	2,41E+00
	Água (kg)	5,76E-05	8,03E-03	3,60E-09	8,45E-02	1,60E-05	6,88E-10	3,49E-06	1,52E-01
Argamassa de assentamento	Cimento (kg)	3,93E-03	2,05E+00	4,24E-09	8,48E+00	9,06E-04	1,02E-07	2,60E-04	1,10E+01
	Cal (kg)	7,57E-03	2,64E+00	3,48E-08	1,78E+01	2,19E-03	1,29E-07	2,77E-04	2,08E+01
	Areia (kg)	6,60E-04	8,86E-02	4,54E-10	1,22E+00	1,55E-04	1,51E-08	1,52E-05	1,35E+00
	Água (kg)	3,24E-05	4,52E-03	2,02E-09	4,75E-02	8,99E-06	3,87E-10	1,96E-06	8,53E-02
Aço	Aço (kg)	9,41E-04	2,49E-01	5,44E-09	2,58E+00	4,73E-04	1,40E-08	1,63E-04	3,12E+00
	Galvanização (m²)	5,10E-03	9,09E-02	1,07E-07	1,15E+00	1,30E-03	1,03E-08	2,13E-05	1,63E+00
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Alvenaria	Bloco cerâmico (kg)	3,69E-02	1,46E+01	1,50E-07	1,30E+02	8,86E-03	9,05E-07	2,96E-03	1,63E+02
Placa de Gesso (kg)	Gesso (kg)	6,56E-04	1,42E-01	1,56E-09	1,79E+00	1,33E-04	1,21E-08	3,12E-05	2,24E+00
	Água (kg)	6,51E-06	9,08E-04	4,07E-10	9,56E-03	1,81E-06	7,77E-11	3,95E-07	1,72E-02
	Placa de Gesso (kg)	1,65E-02	2,42E+00	7,20E-08	2,63E+01	3,92E-03	1,30E-07	7,51E-04	3,99E+01
TOTAL		1,11E-01	3,38E+01	1,75E-06	2,71E+02	2,96E-02	1,98E-06	7,16E-03	3,49E+02
Sistema 16	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	7,01E-03	3,65E+00	7,56E-09	1,51E+01	1,61E-03	1,82E-07	4,63E-04	1,96E+01
	Cal (kg)	1,39E-02	4,85E+00	6,39E-08	3,27E+01	4,02E-03	2,36E-07	5,08E-04	3,82E+01
	Areia (kg)	1,17E-03	1,58E-01	8,08E-10	2,17E+00	2,76E-04	2,68E-08	2,70E-05	2,41E+00
	Água (kg)	5,76E-05	8,03E-03	3,60E-09	8,45E-02	1,60E-05	6,88E-10	3,49E-06	1,52E-01
Argamassa de assentamento	Cimento (kg)	3,93E-03	2,05E+00	4,24E-09	8,48E+00	9,06E-04	1,02E-07	2,60E-04	1,10E+01
	Cal (kg)	7,57E-03	2,64E+00	3,48E-08	1,78E+01	2,19E-03	1,29E-07	2,77E-04	2,08E+01
	Areia (kg)	6,60E-04	8,86E-02	4,54E-10	1,22E+00	1,55E-04	1,51E-08	1,52E-05	1,35E+00
	Água (kg)	3,24E-05	4,52E-03	2,02E-09	4,75E-02	8,99E-06	3,87E-10	1,96E-06	8,53E-02
Aço	Aço (kg)	9,41E-04	2,49E-01	5,44E-09	2,58E+00	4,73E-04	1,40E-08	1,63E-04	3,12E+00
	Galvanização (m²)	5,10E-03	9,09E-02	1,07E-07	1,15E+00	1,30E-03	1,03E-08	2,13E-05	1,63E+00
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Alvenaria	Bloco cerâmico (kg)	3,69E-02	1,46E+01	1,50E-07	1,30E+02	8,86E-03	9,05E-07	2,96E-03	1,63E+02
Gesso (kg)	Água (kg)	7,10E-06	9,91E-04	4,44E-10	1,04E-02	1,97E-06	8,48E-11	4,31E-07	1,87E-02
	Gesso (kg)	6,10E-04	1,32E-01	1,45E-09	1,66E+00	1,24E-04	1,13E-08	2,90E-05	2,09E+00
TOTAL		9,46E-02	3,13E+01	1,68E-06	2,45E+02	2,57E-02	1,85E-06	6,40E-03	3,09E+02
Sistema 17	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	7,01E-03	3,65E+00	7,56E-09	1,51E+01	1,61E-03	1,82E-07	4,63E-04	1,96E+01
	Cal (kg)	1,39E-02	4,85E+00	6,39E-08	3,27E+01	4,02E-03	2,36E-07	5,08E-04	3,82E+01
	Areia (kg)	1,17E-03	1,58E-01	8,08E-10	2,17E+00	2,76E-04	2,68E-08	2,70E-05	2,41E+00
	Água (kg)	5,76E-05	8,03E-03	3,60E-09	8,45E-02	1,60E-05	6,88E-10	3,49E-06	1,52E-01
Argamassa de assentamento	Cimento (kg)	3,93E-03	2,05E+00	4,24E-09	8,48E+00	9,06E-04	1,02E-07	2,60E-04	1,10E+01
	Cal (kg)	7,57E-03	2,64E+00	3,48E-08	1,78E+01	2,19E-03	1,29E-07	2,77E-04	2,08E+01
	Areia (kg)	6,60E-04	8,86E-02	4,54E-10	1,22E+00	1,55E-04	1,51E-08	1,52E-05	1,35E+00
	Água (kg)	3,24E-05	4,52E-03	2,02E-09	4,75E-02	8,99E-06	3,87E-10	1,96E-06	8,53E-02
Aço	Aço (kg)	9,41E-04	2,49E-01	5,44E-09	2,58E+00	4,73E-04	1,40E-08	1,63E-04	3,12E+00
	Galvanização (m²)	5,10E-03	9,09E-02	1,07E-07	1,15E+00	1,30E-03	1,03E-08	2,13E-05	1,63E+00
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Alvenaria	Bloco cerâmico (kg)	3,69E-02	1,46E+01	1,50E-07	1,30E+02	8,86E-03	9,05E-07	2,96E-03	1,63E+02
TOTAL		8,56E-02	2,98E+01	1,03E-06	2,27E+02	2,27E-02	1,73E-06	5,54E-03	2,84E+02
Sistema 18	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de assentamento	Cimento (kg)	3,93E-03	2,04E+00	4,24E-09	8,47E+00	9,04E-04	1,02E-07	2,59E-04	1,10E+01
	Cal (kg)	7,71E-03	2,69E+00	3,54E-08	1,81E+01	2,23E-03	1,31E-07	2,82E-04	2,12E+01
	Areia (kg)	6,59E-04	8,84E-02	4,53E-10	1,22E+00	1,55E-04	1,50E-08	1,52E-05	1,35E+00
	Água (kg)	3,23E-05	4,51E-03	2,02E-09	4,74E-02	8,97E-06	3,86E-10	1,96E-06	8,52E-02
Aço	Aço (kg)	9,41E-04	2,49E-01	5,44E-09	2,58E+00	4,73E-04	1,40E-08	1,63E-04	3,12E+00
	Galvanização (m²)	5,10E-03	9,09E-02	1,07E-07	1,15E+00	1,30E-03	1,03E-08	2,13E-05	1,63E+00
Alvenaria	Bloco cerâmico (kg)	3,69E-02	1,46E+01	1,50E-07	1,30E+02	8,86E-03	9,05E-07	2,96E-03	1,63E+02
TOTAL		5,52E-02	1,97E+01	3,05E-07	1,61E+02	1,39E-02	1,18E-06	3,70E-03	2,02E+02
Sistema 19	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de assentamento	Cimento (kg)	6,74E-03	3,50E+00	7,26E-09	1,45E+01	1,55E-03	1,75E-07	4,45E-04	1,88E+01
	Cal (kg)	1,32E-02	4,61E+00	6,07E-08	3,10E+01	3,82E-03	2,24E-07	4,83E-04	3,63E+01
	Areia (kg)	1,27E-03	1,71E-01	8,74E-10	2,35E+00	2,99E-04	2,90E-08	2,92E-05	2,61E+00
	Água (kg)	6,03E-05	8,42E-03	3,77E-09	8,86E-02	1,68E-05	7,21E-10	3,66E-06	1,59E-01
Aço	Aço (kg)	1,77E-03	4,69E-01	1,02E-08	4,85E+00	8,91E-04	2,63E-08	3,06E-04	5,88E+00
	Galvanização (m²)	6,86E-03	1,22E-01	1,44E-07	1,55E+00	1,74E-03	1,38E-08	2,87E-05	2,19E+00
Alvenaria	Tijilo maciço (kg)	7,67E-02	3,03E+01	3,12E-07	2,70E+02	1,84E-02	1,88E-06	6,15E-03	3,40E+02
TOTAL		1,07E-01	3,91E+01	5,39E-07	3,24E+02	2,67E-02	2,35E-06	7,45E-03	4,06E+02
Sistema 20	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Concreto	concreto25	7,96E-02	2,62E+01	3,90E-07	1,54E+02	1,94E-02	1,71E-06	3,82E-03	1,90E+02
Armadura	Aço (kg)	1,22E-02	3,24E+00	7,07E-08	3,35E+01	6,15E-03	1,81E-07	2,11E-03	4,06E+01
Forma	Alumínio (kg)	1,23E-04	2,50E-02	1,41E-09	2,69E-01	3,42E-05	1,39E-09	8,16E-06	4,96E-01
TOTAL		9,20E-02	2,95E+01	4,62E-07	1,87E+02	2,56E-02	1,89E-06	5,94E-03	2,31E+02
Sistema 21	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Concreto	concreto25	9,55E-02	3,15E+01	4,68E-07	1,84E+02	2,33E-02	2,05E-06	4,58E-03	2,28E+02
Armadura	Aço (kg)	1,22E-02	3,24E+00	7,07E-08	3,35E+01	6,15E-03	1,81E-07	2,11E-03	4,06E+01
Forma	Alumínio (kg)	1,23E-04	2,50E-02	1,41E-09	2,69E-01	3,42E-05	1,39E-09	8,16E-06	4,96E-01
TOTAL		1,08E-01	3,47E+01	5,40E-07	2,18E+02	2,95E-02	2,23E-06	6,71E-03	2,69E+02
Sistema 22	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de assentamento	Cimento (kg)	6,06E-03	3,15E+00	6,53E-09	1,31E+01	1,39E-03	1,57E-07	4,00E-04	1,70E+01
	Cal (kg)	1,19E-02	4,15E+00	5,46E-08	2,79E+01	3,44E-03	2,02E-07	4,35E-04	3,27E+01
	Areia (kg)	1,14E-03	1,54E-01	7,87E-10	2,11E+00	2,69E-04	2,61E-08	2,63E-05	2,35E+00
	Água (kg)	5,43E-05	7,58E-03	3,39E-09	7,98E-02	1,51E-05	6,49E-10	3,29E-06	1,43E-01
Alvenaria	Tijolo maciço (kg)	6,97E-02	2,75E+01	2,84E-07	2,45E+02	1,67E-02	1,71E-06	5,59E-03	3,09E+02
Aço	Aço (kg)	1,77E-03	4,69E-01	1,02E-08	4,85E+00	8,91E-04	2,63E-08	3,06E-04	5,88E+00
	Galvanização (m²)	6,86E-03	1,22E-01	1,44E-07	1,55E+00	1,74E-03	1,38E-08	2,87E-05	2,19E+00
TOTAL		9,75E-02	3,56E+01	5,03E-07	2,95E+02	2,45E-02	2,14E-06	6,79E-03	3,69E+02
Sistema 23	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	1,40E-02	7,29E+00	1,51E-08	3,02E+01	3,23E-03	3,65E-07	9,26E-04	3,93E+01
	Cal (kg)	2,75E-02	9,59E+00	1,26E-07	6,46E+01	7,95E-03	4,67E-07	1,01E-03	7,56E+01
	Areia (kg)	2,35E-03	3,16E-01	1,62E-09	4,34E+00	5,52E-04	5,37E-08	5,41E-05	4,82E+00
	Água (kg)	1,15E-04	1,61E-02	7,20E-09	1,69E-01	3,20E-05	1,38E-09	6,99E-06	3,04E-01
Argamassa de assentamento	Cimento (kg)	3,54E-03	1,84E+00	3,81E-09	7,62E+00	8,14E-04	9,19E-08	2,34E-04	9,90E+00
	Cal (kg)	6,95E-03	2,43E+00	3,20E-08	1,63E+01	2,01E-03	1,18E-07	2,54E-04	1,91E+01
	Areia (kg)	5,95E-04	7,98E-02	4,09E-10	1,10E+00	1,40E-04	1,36E-08	1,37E-05	1,22E+00
	Água (kg)	2,91E-05	4,06E-03	1,82E-09	4,27E-02	8,09E-06	3,48E-10	1,77E-06	7,67E-02
Alvenaria	Bloco cerâmico (kg)	3,35E-02	1,32E+01	1,37E-07	1,18E+02	8,06E-03	8,23E-07	2,69E-03	1,49E+02
Aço	Aço (kg)	2,50E-03	6,63E-01	1,45E-08	6,85E+00	1,26E-03	3,71E-08	4,32E-04	8,31E+00
	Galvanização (m²)	2,94E-02	5,24E-01	6,17E-07	6,66E+00	7,47E-03	5,93E-08	1,23E-04	9,38E+00
Perfis de aço galvanizado	Aço (kg)	9,51E-03	2,52E+00	5,50E-08	2,60E+01	4,78E-03	1,41E-07	1,64E-03	3,16E+01
	Galvanização (m²)	1,75E-01	3,11E+00	3,66E-06	3,95E+01	4,43E-02	3,52E-07	7,29E-04	5,57E+01
Placa alumínio composto	Polietileno (kg)	1,47E-02	3,98E+00	2,31E-07	1,42E+02	3,47E-03	4,56E-08	2,88E-03	1,77E+02
	Alumínio (kg)	4,68E-03	9,51E-01	5,35E-08	1,02E+01	1,30E-03	5,29E-08	3,10E-04	1,88E+01
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
TOTAL		3,32E-01	4,80E+01	5,60E-06	4,90E+02	8,83E-02	2,73E-06	1,21E-02	6,22E+02
Sistema 24	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	1,40E-02	7,29E+00	1,51E-08	3,02E+01	3,23E-03	3,65E-07	9,26E-04	3,93E+01
	Cal (kg)	2,75E-02	9,59E+00	1,26E-07	6,46E+01	7,95E-03	4,67E-07	1,01E-03	7,56E+01
	Areia (kg)	2,35E-03	3,16E-01	1,62E-09	4,34E+00	5,52E-04	5,37E-08	5,41E-05	4,82E+00
	Água (kg)	1,15E-04	1,61E-02	7,20E-09	1,69E-01	3,20E-05	1,38E-09	6,99E-06	3,04E-01
Argamassa de assentamento	Cimento (kg)	3,54E-03	1,84E+00	3,81E-09	7,62E+00	8,14E-04	9,19E-08	2,34E-04	9,90E+00
	Cal (kg)	6,95E-03	2,43E+00	3,20E-08	1,63E+01	2,01E-03	1,18E-07	2,54E-04	1,91E+01
	Areia (kg)	5,95E-04	7,98E-02	4,09E-10	1,10E+00	1,40E-04	1,36E-08	1,37E-05	1,22E+00
	Água (kg)	2,91E-05	4,06E-03	1,82E-09	4,27E-02	8,09E-06	3,48E-10	1,77E-06	7,67E-02
Alvenaria	Bloco de concreto (kg)	4,42E-02	1,17E+01	1,42E-07	7,90E+01	1,06E-02	9,32E-07	1,97E-03	1,05E+02
Aço	Aço (kg)	3,28E-03	8,68E-01	1,89E-08	8,97E+00	1,65E-03	4,86E-08	5,66E-04	2,09E+00
	Galvanização (m²)	3,14E-02	5,59E-01	6,58E-07	7,10E+00	7,97E-03	6,32E-08	1,31E-04	1,00E+01
Perfis de aço galvanizado	Aço (kg)	9,51E-03	2,52E+00	5,50E-08	2,60E+01	4,78E-03	1,41E-07	1,64E-03	3,16E+01
	Galvanização (m²)	1,75E-01	3,11E+00	3,66E-06	3,95E+01	4,43E-02	3,52E-07	7,29E-04	5,57E+01
Placa alumínio composto	Polietileno (kg)	1,47E-02	3,98E+00	2,31E-07	1,42E+02	3,47E-03	4,56E-08	2,88E-03	1,77E+02
	Alumínio (kg)	4,68E-03	9,51E-01	5,35E-08	1,02E+01	1,30E-03	5,29E-08	3,10E-04	1,88E+01
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
TOTAL		3,46E-01	4,67E+01	5,65E-06	4,54E+02	9,17E-02	2,85E-06	1,16E-02	5,72E+02
Sistema 25	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	1,40E-02	7,29E+00	1,51E-08	3,02E+01	3,23E-03	3,65E-07	9,26E-04	3,93E+01
	Cal (kg)	2,75E-02	9,59E+00	1,26E-07	6,46E+01	7,95E-03	4,67E-07	1,01E-03	7,56E+01
	Areia (kg)	2,35E-03	3,16E-01	1,62E-09	4,34E+00	5,52E-04	5,37E-08	5,41E-05	4,82E+00
	Água (kg)	1,15E-04	1,61E-02	7,20E-09	1,69E-01	3,20E-05	1,38E-09	6,99E-06	3,04E-01
Argamassa de assentamento	Cimento (kg)	3,54E-03	1,84E+00	3,81E-09	7,62E+00	8,14E-04	9,19E-08	2,34E-04	9,90E+00
	Cal (kg)	6,95E-03	2,43E+00	3,20E-08	1,63E+01	2,01E-03	1,18E-07	2,54E-04	1,91E+01
	Areia (kg)	5,95E-04	7,98E-02	4,09E-10	1,10E+00	1,40E-04	1,36E-08	1,37E-05	1,22E+00
	Água (kg)	2,91E-05	4,06E-03	1,82E-09	4,27E-02	8,09E-06	3,48E-10	1,77E-06	7,67E-02
Alvenaria	Bloco cerâmico (kg)	3,35E-02	1,32E+01	1,37E-07	1,18E+02	8,06E-03	8,23E-07	2,69E-03	1,49E+02
Aço	Aço (kg)	2,28E-03	6,04E-01	1,32E-08	6,24E+00	1,15E-03	3,38E-08	3,94E-04	7,57E+00
	Galvanização (m²)	2,35E-02	4,19E-01	4,93E-07	5,33E+00	5,98E-03	4,74E-08	9,83E-05	7,50E+00
Perfis de aço galvanizado	Aço (kg)	9,51E-03	2,52E+00	5,50E-08	2,60E+01	4,78E-03	1,41E-07	1,64E-03	3,16E+01
	Galvanização (m²)	1,75E-01	3,11E+00	3,66E-06	3,95E+01	4,43E-02	3,52E-07	7,29E-04	5,57E+01
Placa alumínio composto	Polietileno (kg)	1,47E-02	3,98E+00	2,31E-07	1,42E+02	3,47E-03	4,56E-08	2,88E-03	1,77E+02
	Alumínio (kg)	4,68E-03	9,51E-01	5,35E-08	1,02E+01	1,30E-03	5,29E-08	3,10E-04	1,88E+01
Isolante	Poliestireno (kg)	3,32E-02	1,04E+01	3,62E-07	2,42E+02	3,92E-03	1,79E-07	2,10E-03	2,72E+02
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
TOTAL		3,59E-01	5,82E+01	5,84E-06	7,30E+02	9,06E-02	2,89E-06	1,42E-02	8,92E+02
Sistema 26	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	1,40E-02	7,29E+00	1,51E-08	3,02E+01	3,23E-03	3,65E-07	9,26E-04	3,93E+01
	Cal (kg)	2,75E-02	9,59E+00	1,26E-07	6,46E+01	7,95E-03	4,67E-07	1,01E-03	7,56E+01
	Areia (kg)	2,35E-03	3,16E-01	1,62E-09	4,34E+00	5,52E-04	5,37E-08	5,41E-05	4,82E+00
	Água (kg)	1,15E-04	1,61E-02	7,20E-09	1,69E-01	3,20E-05	1,38E-09	6,99E-06	3,04E-01
Argamassa de assentamento	Cimento (kg)	3,54E-03	1,84E+00	3,81E-09	7,62E+00	8,14E-04	9,19E-08	2,34E-04	9,90E+00
	Cal (kg)	6,95E-03	2,43E+00	3,20E-08	1,63E+01	2,01E-03	1,18E-07	2,54E-04	1,91E+01
	Areia (kg)	5,95E-04	7,98E-02	4,09E-10	1,10E+00	1,40E-04	1,36E-08	1,37E-05	1,22E+00
	Água (kg)	2,91E-05	4,06E-03	1,82E-09	4,27E-02	8,09E-06	3,48E-10	1,77E-06	7,67E-02
Alvenaria	Bloco de concreto (kg)	4,42E-02	1,17E+01	1,42E-07	7,90E+01	1,06E-02	9,32E-07	1,97E-03	1,05E+02
Aço	Aço (kg)	3,28E-03	8,68E-01	1,89E-08	8,97E+00	1,65E-03	4,86E-08	5,66E-04	1,09E+01
	Galvanização (m²)	3,14E-02	5,59E-01	6,58E-07	7,10E+00	7,97E-03	6,32E-08	1,31E-04	1,00E+01
Perfis de aço galvanizado	Aço (kg)	9,51E-03	2,52E+00	5,50E-08	2,60E+01	4,78E-03	1,41E-07	1,64E-03	3,16E+01
	Galvanização (m²)	1,75E-01	3,11E+00	3,66E-06	3,95E+01	4,43E-02	3,52E-07	7,29E-04	5,57E+01
Placa alumínio composto	Alumínio (kg)	4,68E-03	9,51E-01	5,35E-08	1,02E+01	1,30E-03	5,29E-08	3,10E-04	1,88E+01
	Polietileno (kg)	1,47E-02	3,98E+00	2,31E-07	1,42E+02	3,47E-03	4,56E-08	2,88E-03	1,77E+02
Isolante	Poliestireno (kg)	3,32E-02	1,04E+01	3,62E-07	2,42E+02	3,92E-03	1,79E-07	2,10E-03	2,72E+02
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
TOTAL		3,79E-01	5,71E+01	6,02E-06	6,95E+02	9,56E-02	3,03E-06	1,37E-02	8,53E+02
Sistema 27	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	1,40E-02	7,29E+00	1,51E-08	3,02E+01	3,23E-03	3,65E-07	9,26E-04	3,93E+01
	Cal (kg)	2,75E-02	9,59E+00	1,26E-07	6,46E+01	7,95E-03	4,67E-07	1,01E-03	7,56E+01
	Areia (kg)	2,35E-03	3,16E-01	1,62E-09	4,34E+00	5,52E-04	5,37E-08	5,41E-05	4,82E+00
	Água (kg)	1,15E-04	1,61E-02	7,20E-09	1,69E-01	3,20E-05	1,38E-09	6,99E-06	3,04E-01
Argamassa de assentamento	Cimento (kg)	3,54E-03	1,84E+00	3,81E-09	7,62E+00	8,14E-04	9,19E-08	2,34E-04	9,90E+00
	Cal (kg)	6,95E-03	2,43E+00	3,20E-08	1,63E+01	2,01E-03	1,18E-07	2,54E-04	1,91E+01
	Areia (kg)	5,95E-04	7,98E-02	4,09E-10	1,10E+00	1,40E-04	1,36E-08	1,37E-05	1,22E+00
	Água (kg)	2,91E-05	4,06E-03	1,82E-09	4,27E-02	8,09E-06	3,48E-10	1,77E-06	7,67E-02
Alvenaria	Bloco cerâmico (kg)	3,35E-02	1,32E+01	1,37E-07	1,18E+02	8,06E-03	8,23E-07	2,69E-03	1,49E+02
Aço	Aço (kg)	2,50E-03	6,63E-01	1,45E-08	6,85E+00	1,26E-03	3,71E-08	4,32E-04	8,31E+00
	Galvanização (m²)	2,94E-02	5,24E-01	6,17E-07	6,66E+00	7,47E-03	5,93E-08	1,23E-04	9,38E+00
Perfis de aço galvanizado	Aço (kg)	9,51E-03	2,52E+00	5,50E-08	2,60E+01	4,78E-03	1,41E-07	1,64E-03	3,16E+01
	Galvanização (m²)	1,75E-01	3,11E+00	3,66E-06	3,95E+01	4,43E-02	3,52E-07	7,29E-04	5,57E+01
MDF	MDF (m³)	6,29E-02	-3,34E+01	1,90E-07	1,04E+02	2,61E-02	8,44E-07	6,63E-03	8,91E+02
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
TOTAL		3,76E-01	9,69E+00	5,51E-06	4,41E+02	1,10E-01	3,48E-06	1,56E-02	1,32E+03
Sistema 28	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	1,40E-02	7,29E+00	1,51E-08	3,02E+01	3,23E-03	3,65E-07	9,26E-04	3,93E+01
	Cal (kg)	2,75E-02	9,59E+00	1,26E-07	6,46E+01	7,95E-03	4,67E-07	1,01E-03	7,56E+01
	Areia (kg)	2,35E-03	3,16E-01	1,62E-09	4,34E+00	5,52E-04	5,37E-08	5,41E-05	4,82E+00
	Água (kg)	1,15E-04	1,61E-02	7,20E-09	1,69E-01	3,20E-05	1,38E-09	6,99E-06	3,04E-01
Argamassa de assentamento	Cimento (kg)	3,54E-03	1,84E+00	3,81E-09	7,62E+00	8,14E-04	9,19E-08	2,34E-04	9,90E+00
	Cal (kg)	6,95E-03	2,43E+00	3,20E-08	1,63E+01	2,01E-03	1,18E-07	2,54E-04	1,91E+01
	Areia (kg)	5,95E-04	7,98E-02	4,09E-10	1,10E+00	1,40E-04	1,36E-08	1,37E-05	1,22E+00
	Água (kg)	2,91E-05	4,06E-03	1,82E-09	4,27E-02	8,09E-06	3,48E-10	1,77E-06	7,67E-02
Alvenaria	Bloco de concreto (kg)	4,42E-02	1,17E+01	1,42E-07	7,90E+01	1,06E-02	9,32E-07	1,97E-03	1,05E+02
Aço	Aço (kg)	3,28E-03	8,68E-01	1,89E-08	8,97E+00	1,65E-03	4,86E-08	5,66E-04	1,09E+01
	Galvanização (m²)	3,14E-02	5,59E-01	6,58E-07	7,10E+00	7,97E-03	6,32E-08	1,31E-04	1,00E+01
Perfis de aço galvanizado	Aço (kg)	9,51E-03	2,52E+00	5,50E-08	2,60E+01	4,78E-03	1,41E-07	1,64E-03	3,16E+01
	Galvanização (m²)	1,75E-01	3,11E+00	3,66E-06	3,95E+01	4,43E-02	3,52E-07	7,29E-04	5,57E+01
MDF	MDF (m³)	6,29E-02	-3,34E+01	1,90E-07	1,04E+02	2,61E-02	8,44E-07	6,63E-03	8,91E+02
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
TOTAL		3,89E-01	8,43E+00	5,56E-06	4,05E+02	1,13E-01	3,60E-06	1,50E-02	1,28E+03
